Model,BACC,F1,Recall (Eligible),F1 (Class 0),F1 (Class 1),F1 (Class 2),KAPPA,Precision,Recall,Precision (Class 0),Recall (Class 0),Precision (Class 1),Recall (Class 1),Precision (Class 2),Recall (Class 2)
LLaMA-2-7B,0.3305,0.2782,0.1568,0.2997,0.2731,0.1454,0.0115,0.5873,0.2651,0.7588,0.1867,0.1730,0.6482,0.1355,0.1568
LLaMA-3-8B,0.4738,0.5921,0.4109,0.6973,0.3171,0.3488,0.2121,0.6972,0.5367,0.8675,0.5829,0.2519,0.4277,0.3030,0.4109
Mistral-7B,0.2922,0.3606,0.3159,0.4168,0.2334,0.1987,0.0449,0.6146,0.2858,0.7885,0.2833,0.2015,0.2774,0.1449,0.3159
OpenChat-7B,0.4409,0.5576,0.2993,0.6478,0.3364,0.3252,0.1908,0.7182,0.4873,0.8895,0.5094,0.2500,0.5139,0.3559,0.2993
Zephyr-7B,0.3292,0.4112,0.4014,0.4789,0.2228,0.2728,0.0838,0.6575,0.3274,0.8395,0.3350,0.2002,0.2511,0.2066,0.4014
BioMistral-7B,0.1770,0.2115,0.2518,0.2314,0.1553,0.1722,0.0071,0.5666,0.1506,0.7308,0.1375,0.1720,0.1416,0.1309,0.2518
MedAlpaca-7B,0.0026,0.0036,0.0024,0.0022,0.0086,0.0046,0.0005,0.7772,0.0018,1.0000,0.0011,0.3000,0.0044,0.0909,0.0024
Meditron-7B,0.0256,0.0413,0.0356,0.0401,0.0373,0.0558,0.0017,0.5802,0.0222,0.7403,0.0206,0.2121,0.0204,0.1282,0.0356
Panacea-Base,0.0426,0.1227,0.0095,0.1554,0.0553,0.0174,-0.0002,0.5543,0.0690,0.6914,0.0876,0.2800,0.0307,0.1000,0.0095
Panacea,0.4037,0.5626,0.3919,0.6896,0.2280,0.2732,0.1520,0.6571,0.5039,0.8322,0.5886,0.2254,0.2307,0.2097,0.3919
